date,title,link,content
2024-09-29 18:25:22,"‘낸드 3위’ 日키옥시아, 자금 수혈받고 삼성·SK 추격 고삐",https://n.news.naver.com/mnews/article/014/0005246840?sid=101,[]
2024-09-29 18:11:08,"삼성 반도체 주요 경영진, 자사주 매입 행렬 동참",https://n.news.naver.com/mnews/article/031/0000872736?sid=101,[]
2024-09-29 18:09:23,[강남시선] 다시 꿈꿔보는 초격차의 삼성,https://n.news.naver.com/mnews/article/014/0005246802?sid=110,[]
2024-09-29 17:18:13,"삼성전자 화성 고성능컴퓨팅센터 개소...1조5000억 투입, 3년만에 완공",https://n.news.naver.com/mnews/article/009/0005371870?sid=101,[]
2024-09-29 17:16:33,"""삼성·현대차·SK 나와""…여야, 올해도 기업인들 국정감사 줄소환",https://n.news.naver.com/mnews/article/008/0005095056?sid=100,[]
2024-09-29 16:04:42,"삼성전자, ""함께 가는 게 세계 최고""…中企 스마트공장 지원 3천건 돌파",https://n.news.naver.com/mnews/article/009/0005371827?sid=101,[]
2024-09-29 16:04:22,삼성 - 5대 은행  맞손… 2조원 조성해 '中企 저탄소 전환' 지원,https://n.news.naver.com/mnews/article/009/0005371819?sid=101,[]
2024-09-29 13:55:08,"삼성전자, 데이터 기반 디지털 헬스 연구 강화… 리서치 스택 공개",https://n.news.naver.com/mnews/article/366/0001020946?sid=105,[]
2024-09-29 13:00:13,"삼성, 'AI 생태계' 겨냥한 갤럭시 탭 S10…'미디어텍 AP' 탑재",https://n.news.naver.com/mnews/article/293/0000058884?sid=105,[]
2024-09-29 12:00:00,"상반기 카드결제 증가액 감소세, 간편결제 사용은 급증",https://n.news.naver.com/mnews/article/277/0005477852?sid=101,[]
2024-09-29 11:17:35,"삼성바이오에피스, 유럽 학회서 '에피스클리' 연구결과 발표",https://n.news.naver.com/mnews/article/001/0014954245?sid=101,[]
2024-09-29 11:05:09,“여기에 우리 반도체 심으면 판도 바꾼다”…삼성 SK가 또 맞붙은 차량용 칩 전쟁 [위클리 반도체],https://n.news.naver.com/mnews/article/009/0005371726?sid=101,[]
2024-09-29 10:17:04,"국내 '갤럭시 AI' 기기 2000만대…삼성전자, AI 대중화 이끈다",https://n.news.naver.com/mnews/article/421/0007814227?sid=105,[]
2024-09-29 10:09:11,"삼성전기·LG이노텍, 쉽지 않은 하반기…""성장 잠재력은 유효""",https://n.news.naver.com/mnews/article/092/0002347021?sid=105,[]
2024-09-29 09:14:11,"삼성전자서비스, 자립준비청년 위한 재능 나눔 활동",https://n.news.naver.com/mnews/article/018/0005846425?sid=101,[]
2024-09-29 08:32:21,"삼성전자서비스, 자립준비청년 위해 가전 무상점검 '재능 나눔'",https://n.news.naver.com/mnews/article/001/0014954090?sid=101,[]
2024-09-29 07:25:00,강남구 삼성동 '알짜배기 땅' 옛 파출소 매물로…서울시 매각,https://n.news.naver.com/mnews/article/001/0014954025?sid=102,[]
2024-09-28 19:41:10,"“갤레기 써요?” ‘아재 낙인’ 억울했는데…삼성, 애플 텃밭서 역대급 ‘반전’",https://n.news.naver.com/mnews/article/016/0002367971?sid=105,[]
2024-09-28 09:02:00,삼성전자·SK하이닉스 향후 실적 어떨까?[빗나간 반도체 위기론③],https://n.news.naver.com/mnews/article/003/0012809173?sid=101,[]
2024-09-27 17:46:14,中 공세 맞불…'가성비폰' 갤S24FE 조기 출격,https://n.news.naver.com/mnews/article/015/0005038031?sid=101,[]
2024-09-27 17:30:07,"전영현도 샀다…삼성전자 임원, 줄줄이 자사주 매입",https://n.news.naver.com/mnews/article/003/0012808774?sid=101,[]
2024-09-27 15:23:35,삼성 갤럭시 탭 S10 시리즈 공개…국내 10월 4일 출시,https://n.news.naver.com/mnews/article/448/0000479733?sid=101,[]
2024-09-27 11:46:12,"삼성전자, 갤럭시 탭 S10 공개…11인치 일반형은 없애",https://n.news.naver.com/mnews/article/028/0002708981?sid=101,[]
2024-09-27 11:35:52,"삼성물산, 엘리엇에 267억원 안 줘도 된다…법원 ""지급 의무 없어""",https://n.news.naver.com/mnews/article/008/0005094566?sid=102,[]
2024-09-27 09:16:29,"삼성전자, T1 선수단과 게이밍 모니터 '오디세이' 체험 행사",https://n.news.naver.com/mnews/article/003/0012807245?sid=101,[]
2024-09-27 09:04:59,"AI도 대화면에 맞게 최적화…삼성, '갤럭시 탭 S10 시리즈' 선봬",https://n.news.naver.com/mnews/article/003/0012807220?sid=105,[]
2024-09-27 08:54:42,"삼성, AI 심은 보급형폰 '갤럭시 S24 FE' 공개…韓 출시일 미정",https://n.news.naver.com/mnews/article/003/0012807189?sid=105,[]
2024-09-27 08:26:30,"삼성전자, T1 선수단과 게이밍 모니터 오디세이 체험 행사",https://n.news.naver.com/mnews/article/001/0014951531?sid=101,[]
2024-09-27 06:30:00,"엔비디아·TSMC 잡은 SK하이닉스, 삼성과 HBM 격차 더 벌리나",https://n.news.naver.com/mnews/article/003/0012807049?sid=101,[]
2024-09-26 20:13:18,"""방사선 안전장치 임의 조작""‥원안위 삼성전자 수사의뢰 검토",https://n.news.naver.com/mnews/article/214/0001376573?sid=101,[]
2024-09-26 17:48:12,"삼성 ""HBM 수요 폭증""…비관론 일축",https://n.news.naver.com/mnews/article/015/0005037468?sid=101,[]
2024-09-26 15:31:13,"삼성월렛, '뱅크' 담는다…모바일현금카드 내년 탑재",https://n.news.naver.com/mnews/article/030/0003243026?sid=101,[]
2024-09-26 15:30:00,"""갤럭시폰으로 ATM 이용"" 삼성월렛에 모바일현금카드 넣는다",https://n.news.naver.com/mnews/article/003/0012806117?sid=105,[]
2024-09-26 14:30:10,"삼성D, 과학고서 멀티 폴더블 OLED 등 차세대 제품 전시",https://n.news.naver.com/mnews/article/119/0002876023?sid=101,[]
